,DOWN,DISTANCEBIN,FIELDBIN,EXPECTEDPOINTS
0,1,"(0, 2]","(0, 5]",
20,1,"(2, 5]","(0, 5]",
40,1,"(5, 10]","(0, 5]",-0.5406698564593302
60,1,"(10, 15]","(0, 5]",-2.6470588235294117
80,1,"(15, 20]","(0, 5]",-7.0
100,1,"(20, 30]","(0, 5]",
120,1,"(30, 40]","(0, 5]",
140,1,"(40, 50]","(0, 5]",
160,2,"(0, 2]","(0, 5]",
180,2,"(2, 5]","(0, 5]",
200,2,"(5, 10]","(0, 5]",-0.631578947368421
220,2,"(10, 15]","(0, 5]",-1.037037037037037
240,2,"(15, 20]","(0, 5]",-7.0
260,2,"(20, 30]","(0, 5]",-3.6666666666666665
280,2,"(30, 40]","(0, 5]",-7.0
300,2,"(40, 50]","(0, 5]",
320,3,"(0, 2]","(0, 5]",
340,3,"(2, 5]","(0, 5]",
360,3,"(5, 10]","(0, 5]",-1.475
380,3,"(10, 15]","(0, 5]",-3.1
400,3,"(15, 20]","(0, 5]",-3.0
420,3,"(20, 30]","(0, 5]",-0.2
440,3,"(30, 40]","(0, 5]",-3.6666666666666665
460,3,"(40, 50]","(0, 5]",
480,4,"(0, 2]","(0, 5]",
500,4,"(2, 5]","(0, 5]",
520,4,"(5, 10]","(0, 5]",-3.0
540,4,"(10, 15]","(0, 5]",-2.111111111111111
560,4,"(15, 20]","(0, 5]",-4.2
580,4,"(20, 30]","(0, 5]",1.25
600,4,"(30, 40]","(0, 5]",-7.0
620,4,"(40, 50]","(0, 5]",
1,1,"(0, 2]","(5, 10]",
21,1,"(2, 5]","(5, 10]",-3.0
41,1,"(5, 10]","(5, 10]",0.8865979381443299
61,1,"(10, 15]","(5, 10]",0.1111111111111111
81,1,"(15, 20]","(5, 10]",0.23076923076923078
101,1,"(20, 30]","(5, 10]",5.0
121,1,"(30, 40]","(5, 10]",
141,1,"(40, 50]","(5, 10]",
161,2,"(0, 2]","(5, 10]",-7.0
181,2,"(2, 5]","(5, 10]",1.7272727272727273
201,2,"(5, 10]","(5, 10]",-1.1759259259259258
221,2,"(10, 15]","(5, 10]",-0.5428571428571428
241,2,"(15, 20]","(5, 10]",-1.6666666666666667
261,2,"(20, 30]","(5, 10]",-5.6
281,2,"(30, 40]","(5, 10]",
301,2,"(40, 50]","(5, 10]",
321,3,"(0, 2]","(5, 10]",1.0
341,3,"(2, 5]","(5, 10]",-2.111111111111111
361,3,"(5, 10]","(5, 10]",-1.5714285714285714
381,3,"(10, 15]","(5, 10]",-0.9130434782608695
401,3,"(15, 20]","(5, 10]",-2.8
421,3,"(20, 30]","(5, 10]",-4.666666666666667
441,3,"(30, 40]","(5, 10]",
461,3,"(40, 50]","(5, 10]",
481,4,"(0, 2]","(5, 10]",-7.0
501,4,"(2, 5]","(5, 10]",-1.0769230769230769
521,4,"(5, 10]","(5, 10]",-3.2941176470588234
541,4,"(10, 15]","(5, 10]",-2.814814814814815
561,4,"(15, 20]","(5, 10]",-4.818181818181818
581,4,"(20, 30]","(5, 10]",-4.846153846153846
601,4,"(30, 40]","(5, 10]",
621,4,"(40, 50]","(5, 10]",3.0
2,1,"(0, 2]","(10, 15]",
22,1,"(2, 5]","(10, 15]",-2.0
42,1,"(5, 10]","(10, 15]",0.8876889848812095
62,1,"(10, 15]","(10, 15]",-1.9523809523809523
82,1,"(15, 20]","(10, 15]",1.7037037037037037
102,1,"(20, 30]","(10, 15]",-1.4
122,1,"(30, 40]","(10, 15]",
142,1,"(40, 50]","(10, 15]",
162,2,"(0, 2]","(10, 15]",1.588235294117647
182,2,"(2, 5]","(10, 15]",1.0
202,2,"(5, 10]","(10, 15]",0.37037037037037035
222,2,"(10, 15]","(10, 15]",-0.5333333333333333
242,2,"(15, 20]","(10, 15]",-0.047619047619047616
262,2,"(20, 30]","(10, 15]",-2.263157894736842
282,2,"(30, 40]","(10, 15]",
302,2,"(40, 50]","(10, 15]",
322,3,"(0, 2]","(10, 15]",0.23809523809523808
342,3,"(2, 5]","(10, 15]",-0.9459459459459459
362,3,"(5, 10]","(10, 15]",-1.1014492753623188
382,3,"(10, 15]","(10, 15]",-0.8947368421052632
402,3,"(15, 20]","(10, 15]",-4.0
422,3,"(20, 30]","(10, 15]",-1.4705882352941178
442,3,"(30, 40]","(10, 15]",-7.0
462,3,"(40, 50]","(10, 15]",
482,4,"(0, 2]","(10, 15]",-4.285714285714286
502,4,"(2, 5]","(10, 15]",-1.9333333333333333
522,4,"(5, 10]","(10, 15]",-2.2972972972972974
542,4,"(10, 15]","(10, 15]",-2.7142857142857144
562,4,"(15, 20]","(10, 15]",-4.043478260869565
582,4,"(20, 30]","(10, 15]",-3.0
602,4,"(30, 40]","(10, 15]",3.0
622,4,"(40, 50]","(10, 15]",
3,1,"(0, 2]","(15, 20]",
23,1,"(2, 5]","(15, 20]",-3.0
43,1,"(5, 10]","(15, 20]",1.0278706800445931
63,1,"(10, 15]","(15, 20]",-2.0405405405405403
83,1,"(15, 20]","(15, 20]",-1.0
103,1,"(20, 30]","(15, 20]",0.0
123,1,"(30, 40]","(15, 20]",
143,1,"(40, 50]","(15, 20]",
163,2,"(0, 2]","(15, 20]",3.8
183,2,"(2, 5]","(15, 20]",-0.4461538461538462
203,2,"(5, 10]","(15, 20]",0.7509578544061303
223,2,"(10, 15]","(15, 20]",-1.2945736434108528
243,2,"(15, 20]","(15, 20]",-0.08333333333333333
263,2,"(20, 30]","(15, 20]",-0.8333333333333334
283,2,"(30, 40]","(15, 20]",
303,2,"(40, 50]","(15, 20]",
323,3,"(0, 2]","(15, 20]",0.6666666666666666
343,3,"(2, 5]","(15, 20]",0.7704918032786885
363,3,"(5, 10]","(15, 20]",-0.8429752066115702
383,3,"(10, 15]","(15, 20]",-1.8602150537634408
403,3,"(15, 20]","(15, 20]",-2.6041666666666665
423,3,"(20, 30]","(15, 20]",-4.0
443,3,"(30, 40]","(15, 20]",
463,3,"(40, 50]","(15, 20]",
